,accuracy,precision,recall,f1,roc_auc
GaussianNB,0.8505502751375688,0.8508649009771397,0.8505502751375688,0.8505126475190892,0.9040728810267888
BernoulliNB,0.8011505752876438,0.8011517129489762,0.8011505752876438,0.8011498910535086,0.8971045862954681
CategoricalNB,0.8011505752876438,0.8011517129489762,0.8011505752876438,0.8011498910535086,0.8971045862954681
kNN,0.9773636818409205,0.9774480348770761,0.9773636818409205,0.9773629124778019,0.9914566583216382
DecisionTree,0.9364682341170585,0.9364687664152396,0.9364682341170585,0.9364682659147631,0.936468841779463
