,min
Size,0.0
Weight,0.0
Sweetness,0.0
Softness,0.0
HarvestTime,0.0
Ripeness,0.0
Acidity,0.0
weight_to_size,0.0
ripeness_to_harvest,0.0
acidity_times_softness,0.0
Size^2,0.0
Size^3,0.0
Weight^2,0.0
Weight^3,0.0
Sweetness^2,0.0
Sweetness^3,0.0
Softness^2,0.0
Softness^3,0.0
HarvestTime^2,0.0
HarvestTime^3,0.0
Ripeness^2,0.0
Ripeness^3,0.0
Acidity^2,0.0
Acidity^3,0.0
Size*Weight,0.0
Ripeness*Sweetness,0.0
HarvestTime*Acidity,0.0
