,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
Size,8000.0,-0.747801801669379,2.1360227918920454,-7.9980736,-2.2776506999999997,-0.89751402,0.65421606,7.9708004,0.2667374781059777,-0.16079478963950278
Weight,8000.0,-0.7610193750192439,2.015934252771929,-8.283002,-2.2235744,-0.868658975,0.775491475,5.679692,0.04450522736784298,-0.526630516654691
Sweetness,8000.0,-0.7702241042843923,1.9484548834162483,-6.4340215,-2.107329375,-1.0206731,0.311047995,7.539374,0.6143128822061815,0.3909467600555723
Softness,8000.0,-0.014440881038258795,2.065215944309168,-6.9593196,-1.590458325,0.20264395,1.54712015,8.241555,-0.19298122503639958,-0.3920089697358997
HarvestTime,8000.0,-0.7512883019195963,1.9966607874097069,-7.5700083,-2.1206586749999996,-0.93419198,0.5073259999999999,6.29328,0.278251571218927,-0.08057294362833067
Ripeness,8000.0,0.7810983560473437,2.1142893721428417,-7.4231553,-0.574225625,0.96495169,2.2616504500000003,7.2490335,-0.3121943262942672,-0.08774038690026487
Acidity,8000.0,0.008725080184739966,2.2934666385409743,-8.226977,-1.6294499500000001,0.09873514,1.6820629,7.4116335,-0.15303108765838302,-0.3057722335644355
